YEAR,REDTI,DEGREE DAYS,MONTH,old,YYYYMM
1983,89.6,359.2,8,19838,198308
1984,51.9,315.1,8,19848,198408
1985,27.9,287.1,8,19858,198508
1986,22.6,280.9,8,19868,198608
1987,52.5,315.8,8,19878,198708
1988,81.2,349.4,8,19888,198808
1989,22.7,281,8,19898,198908
1990,39.3,300.4,8,19908,199008
1991,46.4,308.7,8,19918,199108
1992,2.6,257.4,8,19928,199208
1993,59.6,324.1,8,19938,199308
1994,23.6,282,8,19948,199408
1995,95.6,366.2,8,19958,199508
1996,37.3,298,8,19968,199608
1997,28.5,287.8,8,19978,199708
1998,77.9,345.5,8,19988,199808
1999,57.3,321.4,8,19998,199908
2000,55.1,318.9,8,20008,200008
2001,73.7,340.6,8,20018,200108
2002,68.1,334.1,8,20028,200208
2003,76.3,343.7,8,20038,200308
2004,14.4,271.2,8,20048,200408
2005,84.9,353.7,8,20058,200508
2006,74.9,342,8,20068,200608
2007,100,371.4,8,20078,200708
2008,35.6,296,8,20088,200808
2009,53.6,317.1,8,20098,200908
2010,90.2,359.9,8,20108,201008
2011,88.4,357.8,8,20118,201108
2012,69.1,335.3,8,20128,201208
2013,37,297.7,8,20138,201308
2014,40.6,301.9,8,20148,201408
2015,58.1,322.4,8,20158,201508
2016,95.3,365.9,8,20168,201608
2017,40.7,302,8,20178,201708
1895,65.1,248.9,9,18959,189509
1896,50.7,239.4,9,18969,189609
1897,26.9,223.7,9,18979,189709
1898,39,231.7,9,18989,189809
1899,31,226.4,9,18999,189909
1900,68,250.8,9,19009,190009
1901,21.9,220.4,9,19019,190109
1902,25.9,223.1,9,19029,190209
1903,12.3,214.1,9,19039,190309
1904,44,235,9,19049,190409
1905,45.5,236,9,19059,190509
1906,47.6,237.4,9,19069,190609
1907,42.9,234.3,9,19079,190709
1908,4.6,209,9,19089,190809
1909,24,221.8,9,19099,190909
1910,56.9,243.5,9,19109,191009
1911,95,268.6,9,19119,191109
1912,56.6,243.3,9,19129,191209
1913,13.4,214.8,9,19139,191309
1914,20.8,219.7,9,19149,191409
1915,35.4,229.3,9,19159,191509
1916,13.7,215,9,19169,191609
1917,34,228.4,9,19179,191709
1918,41.3,233.2,9,19189,191809
1919,20,219.2,9,19199,191909
1920,33.4,228,9,19209,192009
1921,96.1,269.3,9,19219,192109
1922,42.3,233.9,9,19229,192209
1923,25.3,222.7,9,19239,192309
1924,43.2,234.5,9,19249,192409
1925,100,271.9,9,19259,192509
1926,81.8,259.9,9,19269,192609
1927,38.8,231.6,9,19279,192709
1928,37.3,230.6,9,19289,192809
1929,24.3,222,9,19299,192909
1930,53.3,241.1,9,19309,193009
1931,80.1,258.8,9,19319,193109
1932,21.4,220.1,9,19329,193209
1933,83.8,261.2,9,19339,193309
1934,30.3,226,9,19349,193409
1935,19.9,219.1,9,19359,193509
1936,53.9,241.5,9,19369,193609
1937,27.8,224.3,9,19379,193709
1938,39.6,232.1,9,19389,193809
1939,65.4,249.1,9,19399,193909
1940,2.1,207.4,9,19409,194009
1941,48.6,238,9,19419,194109
1942,15.3,216.1,9,19429,194209
1943,21.9,220.4,9,19439,194309
1944,24.3,222,9,19449,194409
1945,57.4,243.8,9,19459,194509
1946,15.9,216.5,9,19469,194609
1947,42.9,234.3,9,19479,194709
1948,7.1,210.7,9,19489,194809
1949,44.8,235.5,9,19499,194909
1950,22,220.5,9,19509,195009
1951,49.5,238.6,9,19519,195109
1952,14.3,215.4,9,19529,195209
1953,22.6,220.9,9,19539,195309
1954,74.1,254.8,9,19549,195409
1955,53.4,241.2,9,19559,195509
1956,52.5,240.6,9,19569,195609
1957,21.5,220.2,9,19579,195709
1958,37.8,230.9,9,19589,195809
1959,31.6,226.8,9,19599,195909
1960,34.9,229,9,19609,196009
1961,38.8,231.6,9,19619,196109
1962,45.1,235.7,9,19629,196209
1963,44.5,235.3,9,19639,196309
1964,25.5,222.8,9,19649,196409
1965,48,237.6,9,19659,196509
1966,18.8,218.4,9,19669,196609
1967,0,206,9,19679,196709
1968,0.9,206.6,9,19689,196809
1969,14.6,215.6,9,19699,196909
1970,55.8,242.8,9,19709,197009
1971,34.7,228.9,9,19719,197109
1972,50.1,239,9,19729,197209
1973,38.8,231.6,9,19739,197309
1974,21.7,220.3,9,19749,197409
1975,32.9,227.7,9,19759,197509
1976,11.2,213.4,9,19769,197609
1977,57.4,243.8,9,19779,197709
1978,54.5,241.9,9,19789,197809
1979,20.6,219.6,9,19799,197909
1980,64.2,248.3,9,19809,198009
1981,16.5,216.9,9,19819,198109
1982,19.4,218.8,9,19829,198209
1983,29,225.1,9,19839,198309
1984,44.5,235.3,9,19849,198409
1985,19.1,218.6,9,19859,198509
1986,55.4,242.5,9,19869,198609
1987,21.2,220,9,19879,198709
1988,31,226.4,9,19889,198809
1989,13.5,214.9,9,19899,198909
1990,35.8,229.6,9,19909,199009
1991,25.2,222.6,9,19919,199109
1992,36.4,230,9,19929,199209
1993,51.9,240.2,9,19939,199309
1994,2.4,207.6,9,19949,199409
1995,39.5,232,9,19959,199509
1996,13.7,215,9,19969,199609
1997,48.3,237.8,9,19979,199709
1998,65.1,248.9,9,19989,199809
1999,19,218.5,9,19999,199909
2000,38.7,231.5,9,20009,200009
2001,10.6,213,9,20019,200109
2002,50.8,239.5,9,20029,200209
2003,20.6,219.6,9,20039,200309
2004,27.2,223.9,9,20049,200409
2005,71.5,253.1,9,20059,200509
2006,22.6,220.9,9,20069,200609
2007,45.7,236.1,9,20079,200709
2008,28.5,224.8,9,20089,200809
2009,35.4,229.3,9,20099,200909
2010,60.5,245.9,9,20109,201009
2011,37.6,230.8,9,20119,201109
2012,39.9,232.3,9,20129,201209
2013,42.2,233.8,9,20139,201309
2014,46.1,236.4,9,20149,201409
2015,67.8,250.7,9,20159,201509
2016,72.2,253.6,9,20169,201609
2017,26.6,223.5,9,20179,201709
1895,82.7,418.8,10,189510,189510
1896,65.3,383.6,10,189610,189610
1897,28.4,309,10,189710,189710
1898,42.9,338.2,10,189810,189810
1899,29.6,311.3,10,189910,189910
1900,9.8,271.2,10,190010,190010
1901,31.7,315.5,10,190110,190110
1902,35.4,323.1,10,190210,190210
1903,32.1,316.4,10,190310,190310
1904,50,352.7,10,190410,190410
1905,48.9,350.5,10,190510,190510
1906,42.7,337.8,10,190610,190610
1907,62.5,378,10,190710,190710
1908,39,330.3,10,190810,190810
1909,64.1,381.3,10,190910,190910
1910,18.7,289.3,10,191010,191010
1911,52.7,358.1,10,191110,191110
1912,40,332.4,10,191210,191210
1913,34.3,320.9,10,191310,191310
1914,13.8,279.4,10,191410,191410
1915,28.4,308.9,10,191510,191510
1916,51.3,355.2,10,191610,191610
1917,84,421.5,10,191710,191710
1918,20.6,293.1,10,191810,191810
1919,43.3,339.1,10,191910,191910
1920,14.1,279.9,10,192010,192010
1921,32.7,317.6,10,192110,192110
1922,26.1,304.2,10,192210,192210
1923,53.3,359.3,10,192310,192310
1924,31.1,314.3,10,192410,192410
1925,100,453.9,10,192510,192510
1926,44.6,341.8,10,192610,192610
1927,17.5,286.8,10,192710,192710
1928,30.7,313.6,10,192810,192810
1929,46.9,346.3,10,192910,192910
1930,54.2,361.2,10,193010,193010
1931,18.2,288.2,10,193110,193110
1932,37,326.3,10,193210,193210
1933,44.1,340.7,10,193310,193310
1934,38.4,329.1,10,193410,193410
1935,42.8,338.1,10,193510,193510
1936,37.3,327,10,193610,193610
1937,48.9,350.5,10,193710,193710
1938,18.9,289.7,10,193810,193810
1939,32.3,316.8,10,193910,193910
1940,34.5,321.3,10,194010,194010
1941,30.1,312.3,10,194110,194110
1942,28.5,309.1,10,194210,194210
1943,41.7,335.8,10,194310,194310
1944,33.3,318.9,10,194410,194410
1945,43.9,340.3,10,194510,194510
1946,25.9,303.9,10,194610,194610
1947,1.5,254.4,10,194710,194710
1948,51.3,355.3,10,194810,194810
1949,21,294,10,194910,194910
1950,17.1,286,10,195010,195010
1951,29.6,311.3,10,195110,195110
1952,62.8,378.5,10,195210,195210
1953,14.6,281,10,195310,195310
1954,23.7,299.3,10,195410,195410
1955,26.2,304.5,10,195510,195510
1956,22.4,296.7,10,195610,195610
1957,56.8,366.4,10,195710,195710
1958,31.5,315.1,10,195810,195810
1959,37.3,326.9,10,195910,195910
1960,37.7,327.8,10,196010,196010
1961,24.7,301.4,10,196110,196110
1962,28.3,308.7,10,196210,196210
1963,0,251.4,10,196310,196310
1964,50.8,354.2,10,196410,196410
1965,38.3,328.9,10,196510,196510
1966,50.6,353.9,10,196610,196610
1967,37.3,327,10,196710,196710
1968,27,306,10,196810,196810
1969,53.9,360.6,10,196910,196910
1970,31.3,314.8,10,197010,197010
1971,11.6,274.8,10,197110,197110
1972,65.9,384.9,10,197210,197210
1973,17.7,287.2,10,197310,197310
1974,50.4,353.5,10,197410,197410
1975,24.2,300.5,10,197510,197510
1976,74.9,403.1,10,197610,197610
1977,46.9,346.4,10,197710,197710
1978,44.3,341.2,10,197810,197810
1979,39.3,330.9,10,197910,197910
1980,55.6,364,10,198010,198010
1981,63.3,379.5,10,198110,198110
1982,33.1,318.5,10,198210,198210
1983,30.4,313,10,198310,198310
1984,23.8,299.6,10,198410,198410
1985,32.7,317.6,10,198510,198510
1986,31.3,314.8,10,198610,198610
1987,66,385,10,198710,198710
1988,70.2,393.6,10,198810,198810
1989,30.2,312.5,10,198910,198910
1990,26.9,305.8,10,199010,199010
1991,26.9,305.9,10,199110,199110
1992,48.3,349.2,10,199210,199210
1993,49.2,351.1,10,199310,199310
1994,35.9,324.1,10,199410,199410
1995,23.4,298.7,10,199510,199510
1996,36.4,325.1,10,199610,199610
1997,35.9,324,10,199710,199710
1998,29.4,310.9,10,199810,199810
1999,38.2,328.8,10,199910,199910
2000,22.9,297.8,10,200010,200010
2001,30.7,313.5,10,200110,200110
2002,54.5,361.7,10,200210,200210
2003,36.9,326.1,10,200310,200310
2004,36.3,324.9,10,200410,200410
2005,22,296,10,200510,200510
2006,51.5,355.6,10,200610,200610
2007,4.7,261,10,200710,200710
2008,39.3,330.9,10,200810,200810
2009,63.5,380,10,200910,200910
2010,19.5,290.9,10,201010,201010
2011,26,304.1,10,201110,201110
2012,31.8,315.7,10,201210,201210
2013,30.1,312.3,10,201310,201310
2014,20.6,293.2,10,201410,201410
2015,25.6,303.3,10,201510,201510
2016,15.1,281.9,10,201610,201610
2017,7.9,267.4,10,201710,201710
1895,69.9,608.6,11,189511,189511
1896,57.1,575.4,11,189611,189611
1897,63.5,591.8,11,189711,189711
1898,86.9,652.5,11,189811,189811
1899,38.5,527,11,189911,189911
1900,48.7,553.5,11,190011,190011
1901,83,642.4,11,190111,190111
1902,25.8,494.3,11,190211,190211
1903,82.8,642,11,190311,190311
1904,62.6,589.6,11,190411,190411
1905,64.6,594.8,11,190511,190511
1906,68.8,605.6,11,190611,190611
1907,72.6,615.4,11,190711,190711
1908,53.2,565.1,11,190811,190811
1909,23.6,488.4,11,190911,190911
1910,83.8,644.5,11,191011,191011
1911,95.8,675.5,11,191111,191111
1912,56.2,572.9,11,191211,191211
1913,32.4,511.2,11,191311,191311
1914,51.7,561.3,11,191411,191411
1915,46.5,547.8,11,191511,191511
1916,67.6,602.6,11,191611,191611
1917,67.5,602.3,11,191711,191711
1918,63,590.6,11,191811,191811
1919,68.9,606,11,191911,191911
1920,77.4,627.9,11,192011,192011
1921,51.1,559.7,11,192111,192111
1922,55.3,570.7,11,192211,192211
1923,57.2,575.5,11,192311,192311
1924,54.6,568.8,11,192411,192411
1925,76.3,625.1,11,192511,192511
1926,72.4,614.9,11,192611,192611
1927,26.7,496.6,11,192711,192711
1928,55.1,570.2,11,192811,192811
1929,78.5,630.8,11,192911,192911
1930,57.4,576.2,11,193011,193011
1931,19.9,478.8,11,193111,193111
1932,74.7,620.8,11,193211,193211
1933,66.9,600.7,11,193311,193311
1934,29.4,503.4,11,193411,193411
1935,60.6,584.5,11,193511,193511
1936,80.4,635.7,11,193611,193611
1937,71.7,613.1,11,193711,193711
1938,55.9,572.1,11,193811,193811
1939,66.6,600,11,193911,193911
1940,73,616.4,11,194011,194011
1941,43.4,539.9,11,194111,194111
1942,44.9,543.8,11,194211,194211
1943,72.2,614.4,11,194311,194311
1944,57.1,575.4,11,194411,194411
1945,49.6,555.9,11,194511,194511
1946,42.9,538.5,11,194611,194611
1947,91.5,664.4,11,194711,194711
1948,38.7,527.6,11,194811,194811
1949,43.4,539.9,11,194911,194911
1950,67.7,602.7,11,195011,195011
1951,97.3,679.4,11,195111,195111
1952,61.2,586,11,195211,195211
1953,42.1,536.5,11,195311,195311
1954,51.9,561.8,11,195411,195411
1955,81.4,638.2,11,195511,195511
1956,60.1,583.1,11,195611,195611
1957,59.8,582.2,11,195711,195711
1958,40.1,531.3,11,195811,195811
1959,78.9,631.9,11,195911,195911
1960,46.3,547.2,11,196011,196011
1961,56.3,573.2,11,196111,196111
1962,60.3,583.6,11,196211,196211
1963,31.7,509.5,11,196311,196311
1964,41.1,533.8,11,196411,196411
1965,40.3,531.7,11,196511,196511
1966,39.7,530.2,11,196611,196611
1967,72.6,615.6,11,196711,196711
1968,58.3,578.5,11,196811,196811
1969,63.5,591.8,11,196911,196911
1970,54.8,569.3,11,197011,197011
1971,60.8,585,11,197111,197111
1972,83.5,643.7,11,197211,197211
1973,42.6,537.6,11,197311,197311
1974,49.1,554.6,11,197411,197411
1975,27.4,498.4,11,197511,197511
1976,100,686.5,11,197611,197611
1977,37.3,523.9,11,197711,197711
1978,48.8,553.7,11,197811,197811
1979,51.4,560.4,11,197911,197911
1980,62,588.1,11,198011,198011
1981,39,528.5,11,198111,198111
1982,46.5,547.9,11,198211,198211
1983,41.7,535.5,11,198311,198311
1984,61.8,587.5,11,198411,198411
1985,45.3,544.8,11,198511,198511
1986,61.3,586.2,11,198611,198611
1987,33.9,515.2,11,198711,198711
1988,40.8,533.1,11,198811,198811
1989,50.8,558.9,11,198911,198911
1990,22.1,484.5,11,199011,199011
1991,66.4,599.3,11,199111,199111
1992,60.8,585,11,199211,199211
1993,66.1,598.6,11,199311,199311
1994,34.4,516.5,11,199411,199411
1995,70.6,610.4,11,199511,199511
1996,82.3,640.5,11,199611,199611
1997,68.4,604.7,11,199711,199711
1998,31.2,508.2,11,199811,199811
1999,2.9,434.7,11,199911,199911
2000,75,621.8,11,200011,200011
2001,0,427.3,11,200111,200111
2002,56.4,573.5,11,200211,200211
2003,30.9,507.4,11,200311,200311
2004,32.8,512.4,11,200411,200411
2005,24.3,490.2,11,200511,200511
2006,23.1,487.3,11,200611,200611
2007,42.9,538.6,11,200711,200711
2008,46,546.5,11,200811,200811
2009,13.9,463.3,11,200911,200911
2010,43.5,540.1,11,201011,201011
2011,24.2,490,11,201111,201111
2012,49.4,555.3,11,201211,201211
2013,63.5,592,11,201311,201311
2014,78,629.5,11,201411,201411
2015,18.5,475.3,11,201511,201511
2016,7.2,446,11,201611,201611
2017,36.8,522.6,11,201711,201711
1895,52.8,846.5,12,189512,189512
1896,47.5,822.6,12,189612,189612
1897,60,878.9,12,189712,189712
1898,71.8,931.8,12,189812,189812
1899,56.4,862.5,12,189912,189912
1900,48.6,827.5,12,190012,190012
1901,66.6,908.4,12,190112,190112
1902,65,901.2,12,190212,190212
1903,79.8,967.9,12,190312,190312
1904,68.7,917.8,12,190412,190412
1905,58,869.8,12,190512,190512
1906,47.5,822.5,12,190612,190612
1907,43.5,804.4,12,190712,190712
1908,49.2,830.3,12,190812,190812
1909,90.2,1014.5,12,190912,190912
1910,74.3,943.3,12,191012,191012
1911,43.9,806.6,12,191112,191112
1912,47.3,821.9,12,191212,191212
1913,42.2,798.6,12,191312,191312
1914,84.7,989.8,12,191412,191412
1915,57.8,868.9,12,191512,191512
1916,69.9,923.3,12,191612,191612
1917,89.9,1013.3,12,191712,191712
1918,35.6,768.9,12,191812,191812
1919,77.8,958.9,12,191912,191912
1920,48.5,826.9,12,192012,192012
1921,42.2,798.8,12,192112,192112
1922,46,815.9,12,192212,192212
1923,21.5,705.8,12,192312,192312
1924,73.4,939.1,12,192412,192412
1925,60.3,880.2,12,192512,192512
1926,65.6,904.1,12,192612,192612
1927,63.2,893.2,12,192712,192712
1928,47.6,823,12,192812,192812
1929,49.2,830.4,12,192912,192912
1930,64,897,12,193012,193012
1931,27.9,734.5,12,193112,193112
1932,59.3,875.5,12,193212,193212
1933,39.2,785.3,12,193312,193312
1934,58.2,870.9,12,193412,193412
1935,77.8,958.7,12,193512,193512
1936,39.8,787.8,12,193612,193612
1937,57.3,866.6,12,193712,193712
1938,46.7,818.9,12,193812,193812
1939,32.4,754.8,12,193912,193912
1940,32.4,754.5,12,194012,194012
1941,32.6,755.4,12,194112,194112
1942,62.3,889.1,12,194212,194212
1943,61,883.5,12,194312,194312
1944,71.9,932.5,12,194412,194412
1945,80,968.9,12,194512,194512
1946,34.4,763.9,12,194612,194612
1947,56.1,861.1,12,194712,194712
1948,47.5,822.7,12,194812,194812
1949,42.1,798.2,12,194912,194912
1950,63.6,894.9,12,195012,195012
1951,53.3,848.7,12,195112,195112
1952,47.3,821.8,12,195212,195212
1953,43,802.4,12,195312,195312
1954,51,838.4,12,195412,195412
1955,66.4,907.7,12,195512,195512
1956,24.7,720.1,12,195612,195612
1957,29.5,741.5,12,195712,195712
1958,72.2,933.9,12,195812,195812
1959,34.8,765.6,12,195912,195912
1960,77.2,956.1,12,196012,196012
1961,59.6,876.9,12,196112,196112
1962,64.8,900.6,12,196212,196212
1963,92.8,1026.4,12,196312,196312
1964,50.2,834.7,12,196412,196412
1965,35,766.3,12,196512,196512
1966,53.7,850.6,12,196612,196612
1967,47.5,822.7,12,196712,196712
1968,67.3,911.8,12,196812,196812
1969,58.6,872.6,12,196912,196912
1970,47.1,820.6,12,197012,197012
1971,32.4,754.8,12,197112,197112
1972,54.9,856,12,197212,197212
1973,45.7,814.7,12,197312,197312
1974,46,815.8,12,197412,197412
1975,47,820.2,12,197512,197512
1976,75.2,947.2,12,197612,197612
1977,53.9,851.5,12,197712,197712
1978,57.7,868.4,12,197812,197812
1979,34.7,765.2,12,197912,197912
1980,50.3,835.3,12,198012,198012
1981,54.3,853,12,198112,198112
1982,23.5,714.7,12,198212,198212
1983,85.3,992.4,12,198312,198312
1984,25.8,725.1,12,198412,198412
1985,76.1,951.4,12,198512,198512
1986,43.6,805.2,12,198612,198612
1987,39,784.5,12,198712,198712
1988,50.1,834.1,12,198812,198812
1989,100,1058.7,12,198912,198912
1990,43.7,805.5,12,199012,199012
1991,33.1,758,12,199112,199112
1992,49.6,832.1,12,199212,199212
1993,48.3,826.4,12,199312,199312
1994,27.8,733.8,12,199412,199412
1995,57.5,867.5,12,199512,199512
1996,34.6,764.6,12,199612,199612
1997,44.1,807.5,12,199712,199712
1998,26.7,729.1,12,199812,199812
1999,33.9,761.5,12,199912,199912
2000,84.5,988.8,12,200012,200012
2001,22.3,709.4,12,200112,200112
2002,46.4,817.8,12,200212,200212
2003,40.7,792.1,12,200312,200312
2004,43.4,804.2,12,200412,200412
2005,57.2,866.2,12,200512,200512
2006,21,703.4,12,200612,200612
2007,44.8,810.4,12,200712,200712
2008,50.3,835.1,12,200812,200812
2009,60.4,880.6,12,200912,200912
2010,66,905.6,12,201012,201012
2011,28.4,736.6,12,201112,201112
2012,22.8,711.7,12,201212,201212
2013,52.9,846.9,12,201312,201312
2014,24.9,721.2,12,201412,201412
2015,0,609,12,201512,201512
2016,44.1,807.2,12,201612,201612
2017,46.6,818.5,12,201712,201712
