MSN,YYYYMM,Value,Column_Order,Description,Unit,Y,M
SOT8BUS,201605,6.206,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2016,5
SOT8BUS,201606,6.367,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2016,6
SOT8BUS,201607,6.607,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2016,7
SOT8BUS,201608,6.413,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2016,8
SOT8BUS,201609,5.732,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2016,9
SOT8BUS,201610,5.127,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2016,10
SOT8BUS,201611,4.151,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2016,11
SOT8BUS,201612,3.855,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2016,12
SOT8BUS,201701,3.221,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,1
SOT8BUS,201702,3.582,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,2
SOT8BUS,201703,5.145,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,3
SOT8BUS,201704,5.725,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,4
SOT8BUS,201705,6.32,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,5
SOT8BUS,201706,6.482,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,6
SOT8BUS,201707,6.677,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,7
SOT8BUS,201708,6.478,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,8
SOT8BUS,201709,5.802,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,9
SOT8BUS,201710,5.185,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,10
SOT8BUS,201711,4.077,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,11
SOT8BUS,201712,3.823,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2017,12
SOT8BUS,201801,3.238,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2018,1
SOT8BUS,201802,3.601,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2018,2
SOT8BUS,201803,5.172,1,Distributed Solar Energy Consumption for Heat:  Total,Trillion Btu,2018,3
SOR7BUS,201201,1.061,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,1
SOR7BUS,201202,1.144,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,2
SOR7BUS,201203,1.576,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,3
SOR7BUS,201204,1.737,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,4
SOR7BUS,201205,1.917,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,5
SOR7BUS,201206,1.935,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,6
SOR7BUS,201207,2.031,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,7
SOR7BUS,201208,2.01,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,8
SOR7BUS,201209,1.833,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,9
SOR7BUS,201210,1.671,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,10
SOR7BUS,201211,1.37,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,11
SOR7BUS,201212,1.301,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2012,12
SOR7BUS,201301,1.663,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,1
SOR7BUS,201302,1.792,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,2
SOR7BUS,201303,2.47,2,Distributed Solar Energy Consumption for Electricity:  Residential Sector,Trillion Btu,2013,3
