YEAR,REDTI,DEGREE DAYS,MONTH,yyyymm
2016,72.2,253.6,9,20169
2017,26.6,223.5,9,20179
1895,82.7,418.8,10,189510
1896,65.3,383.6,10,189610
1897,28.4,309,10,189710
1898,42.9,338.2,10,189810
1899,29.6,311.3,10,189910
1900,9.8,271.2,10,190010
1901,31.7,315.5,10,190110
1902,35.4,323.1,10,190210
1903,32.1,316.4,10,190310
1904,50,352.7,10,190410
1905,48.9,350.5,10,190510
1906,42.7,337.8,10,190610
1907,62.5,378,10,190710
1908,39,330.3,10,190810
1909,64.1,381.3,10,190910
1910,18.7,289.3,10,191010
1911,52.7,358.1,10,191110
1912,40,332.4,10,191210
1913,34.3,320.9,10,191310
1914,13.8,279.4,10,191410
1915,28.4,308.9,10,191510
1916,51.3,355.2,10,191610
1917,84,421.5,10,191710
1918,20.6,293.1,10,191810
1919,43.3,339.1,10,191910
1920,14.1,279.9,10,192010
1921,32.7,317.6,10,192110
1922,26.1,304.2,10,192210
1923,53.3,359.3,10,192310
1924,31.1,314.3,10,192410
1925,100,453.9,10,192510
1926,44.6,341.8,10,192610
1927,17.5,286.8,10,192710
1928,30.7,313.6,10,192810
1929,46.9,346.3,10,192910
1930,54.2,361.2,10,193010
1931,18.2,288.2,10,193110
1932,37,326.3,10,193210
1933,44.1,340.7,10,193310
1934,38.4,329.1,10,193410
1935,42.8,338.1,10,193510
1936,37.3,327,10,193610
1937,48.9,350.5,10,193710
1938,18.9,289.7,10,193810
1939,32.3,316.8,10,193910
1940,34.5,321.3,10,194010
1941,30.1,312.3,10,194110
1942,28.5,309.1,10,194210
1943,41.7,335.8,10,194310
1944,33.3,318.9,10,194410
1945,43.9,340.3,10,194510
1946,25.9,303.9,10,194610
1947,1.5,254.4,10,194710
1948,51.3,355.3,10,194810
1949,21,294,10,194910
1950,17.1,286,10,195010
1951,29.6,311.3,10,195110
1952,62.8,378.5,10,195210
1953,14.6,281,10,195310
1954,23.7,299.3,10,195410
1955,26.2,304.5,10,195510
1956,22.4,296.7,10,195610
1957,56.8,366.4,10,195710
1958,31.5,315.1,10,195810
1959,37.3,326.9,10,195910
1960,37.7,327.8,10,196010
1961,24.7,301.4,10,196110
1962,28.3,308.7,10,196210
1963,0,251.4,10,196310
1964,50.8,354.2,10,196410
1965,38.3,328.9,10,196510
1966,50.6,353.9,10,196610
1967,37.3,327,10,196710
1968,27,306,10,196810
1969,53.9,360.6,10,196910
1970,31.3,314.8,10,197010
1971,11.6,274.8,10,197110
1972,65.9,384.9,10,197210
1973,17.7,287.2,10,197310
1974,50.4,353.5,10,197410
1975,24.2,300.5,10,197510
1976,74.9,403.1,10,197610
1977,46.9,346.4,10,197710
1978,44.3,341.2,10,197810
1979,39.3,330.9,10,197910
1980,55.6,364,10,198010
1981,63.3,379.5,10,198110
1982,33.1,318.5,10,198210
1983,30.4,313,10,198310
1984,23.8,299.6,10,198410
1985,32.7,317.6,10,198510
1986,31.3,314.8,10,198610
1987,66,385,10,198710
1988,70.2,393.6,10,198810
1989,30.2,312.5,10,198910
1990,26.9,305.8,10,199010
1991,26.9,305.9,10,199110
1992,48.3,349.2,10,199210
1993,49.2,351.1,10,199310
1994,35.9,324.1,10,199410
1995,23.4,298.7,10,199510
1996,36.4,325.1,10,199610
1997,35.9,324,10,199710
1998,29.4,310.9,10,199810
1999,38.2,328.8,10,199910
2000,22.9,297.8,10,200010
2001,30.7,313.5,10,200110
2002,54.5,361.7,10,200210
2003,36.9,326.1,10,200310
2004,36.3,324.9,10,200410
2005,22,296,10,200510
2006,51.5,355.6,10,200610
2007,4.7,261,10,200710
2008,39.3,330.9,10,200810
2009,63.5,380,10,200910
2010,19.5,290.9,10,201010
2011,26,304.1,10,201110
2012,31.8,315.7,10,201210
2013,30.1,312.3,10,201310
2014,20.6,293.2,10,201410
2015,25.6,303.3,10,201510
2016,15.1,281.9,10,201610
2017,7.9,267.4,10,201710
1895,69.9,608.6,11,189511
1896,57.1,575.4,11,189611
1897,63.5,591.8,11,189711
1898,86.9,652.5,11,189811
1899,38.5,527,11,189911
1900,48.7,553.5,11,190011
1901,83,642.4,11,190111
1902,25.8,494.3,11,190211
1903,82.8,642,11,190311
1904,62.6,589.6,11,190411
1905,64.6,594.8,11,190511
1906,68.8,605.6,11,190611
1907,72.6,615.4,11,190711
1908,53.2,565.1,11,190811
1909,23.6,488.4,11,190911
1910,83.8,644.5,11,191011
1911,95.8,675.5,11,191111
1912,56.2,572.9,11,191211
1913,32.4,511.2,11,191311
1914,51.7,561.3,11,191411
1915,46.5,547.8,11,191511
1916,67.6,602.6,11,191611
1917,67.5,602.3,11,191711
1918,63,590.6,11,191811
1919,68.9,606,11,191911
1920,77.4,627.9,11,192011
1921,51.1,559.7,11,192111
1922,55.3,570.7,11,192211
1923,57.2,575.5,11,192311
1924,54.6,568.8,11,192411
1925,76.3,625.1,11,192511
1926,72.4,614.9,11,192611
1927,26.7,496.6,11,192711
1928,55.1,570.2,11,192811
1929,78.5,630.8,11,192911
1930,57.4,576.2,11,193011
1931,19.9,478.8,11,193111
1932,74.7,620.8,11,193211
1933,66.9,600.7,11,193311
1934,29.4,503.4,11,193411
1935,60.6,584.5,11,193511
1936,80.4,635.7,11,193611
1937,71.7,613.1,11,193711
1938,55.9,572.1,11,193811
1939,66.6,600,11,193911
1940,73,616.4,11,194011
1941,43.4,539.9,11,194111
1942,44.9,543.8,11,194211
1943,72.2,614.4,11,194311
1944,57.1,575.4,11,194411
1945,49.6,555.9,11,194511
1946,42.9,538.5,11,194611
1947,91.5,664.4,11,194711
1948,38.7,527.6,11,194811
1949,43.4,539.9,11,194911
1950,67.7,602.7,11,195011
1951,97.3,679.4,11,195111
1952,61.2,586,11,195211
1953,42.1,536.5,11,195311
1954,51.9,561.8,11,195411
1955,81.4,638.2,11,195511
1956,60.1,583.1,11,195611
1957,59.8,582.2,11,195711
1958,40.1,531.3,11,195811
1959,78.9,631.9,11,195911
1960,46.3,547.2,11,196011
1961,56.3,573.2,11,196111
1962,60.3,583.6,11,196211
1963,31.7,509.5,11,196311
1964,41.1,533.8,11,196411
1965,40.3,531.7,11,196511
1966,39.7,530.2,11,196611
1967,72.6,615.6,11,196711
1968,58.3,578.5,11,196811
1969,63.5,591.8,11,196911
1970,54.8,569.3,11,197011
1971,60.8,585,11,197111
1972,83.5,643.7,11,197211
1973,42.6,537.6,11,197311
1974,49.1,554.6,11,197411
1975,27.4,498.4,11,197511
1976,100,686.5,11,197611
1977,37.3,523.9,11,197711
1978,48.8,553.7,11,197811
1979,51.4,560.4,11,197911
1980,62,588.1,11,198011
1981,39,528.5,11,198111
1982,46.5,547.9,11,198211
1983,41.7,535.5,11,198311
1984,61.8,587.5,11,198411
1985,45.3,544.8,11,198511
1986,61.3,586.2,11,198611
1987,33.9,515.2,11,198711
1988,40.8,533.1,11,198811
1989,50.8,558.9,11,198911
1990,22.1,484.5,11,199011
1991,66.4,599.3,11,199111
1992,60.8,585,11,199211
1993,66.1,598.6,11,199311
1994,34.4,516.5,11,199411
1995,70.6,610.4,11,199511
1996,82.3,640.5,11,199611
1997,68.4,604.7,11,199711
1998,31.2,508.2,11,199811
1999,2.9,434.7,11,199911
2000,75,621.8,11,200011
2001,0,427.3,11,200111
2002,56.4,573.5,11,200211
2003,30.9,507.4,11,200311
2004,32.8,512.4,11,200411
2005,24.3,490.2,11,200511
2006,23.1,487.3,11,200611
2007,42.9,538.6,11,200711
2008,46,546.5,11,200811
2009,13.9,463.3,11,200911
2010,43.5,540.1,11,201011
2011,24.2,490,11,201111
2012,49.4,555.3,11,201211
2013,63.5,592,11,201311
2014,78,629.5,11,201411
2015,18.5,475.3,11,201511
2016,7.2,446,11,201611
2017,36.8,522.6,11,201711
1895,52.8,846.5,12,189512
1896,47.5,822.6,12,189612
1897,60,878.9,12,189712
1898,71.8,931.8,12,189812
1899,56.4,862.5,12,189912
1900,48.6,827.5,12,190012
1901,66.6,908.4,12,190112
1902,65,901.2,12,190212
1903,79.8,967.9,12,190312
1904,68.7,917.8,12,190412
1905,58,869.8,12,190512
1906,47.5,822.5,12,190612
1907,43.5,804.4,12,190712
1908,49.2,830.3,12,190812
1909,90.2,1014.5,12,190912
1910,74.3,943.3,12,191012
1911,43.9,806.6,12,191112
1912,47.3,821.9,12,191212
1913,42.2,798.6,12,191312
1914,84.7,989.8,12,191412
1915,57.8,868.9,12,191512
1916,69.9,923.3,12,191612
1917,89.9,1013.3,12,191712
1918,35.6,768.9,12,191812
1919,77.8,958.9,12,191912
1920,48.5,826.9,12,192012
1921,42.2,798.8,12,192112
1922,46,815.9,12,192212
1923,21.5,705.8,12,192312
1924,73.4,939.1,12,192412
1925,60.3,880.2,12,192512
1926,65.6,904.1,12,192612
1927,63.2,893.2,12,192712
1928,47.6,823,12,192812
1929,49.2,830.4,12,192912
1930,64,897,12,193012
1931,27.9,734.5,12,193112
1932,59.3,875.5,12,193212
1933,39.2,785.3,12,193312
1934,58.2,870.9,12,193412
1935,77.8,958.7,12,193512
1936,39.8,787.8,12,193612
1937,57.3,866.6,12,193712
1938,46.7,818.9,12,193812
1939,32.4,754.8,12,193912
1940,32.4,754.5,12,194012
1941,32.6,755.4,12,194112
1942,62.3,889.1,12,194212
1943,61,883.5,12,194312
1944,71.9,932.5,12,194412
1945,80,968.9,12,194512
1946,34.4,763.9,12,194612
1947,56.1,861.1,12,194712
1948,47.5,822.7,12,194812
1949,42.1,798.2,12,194912
1950,63.6,894.9,12,195012
1951,53.3,848.7,12,195112
1952,47.3,821.8,12,195212
1953,43,802.4,12,195312
1954,51,838.4,12,195412
1955,66.4,907.7,12,195512
1956,24.7,720.1,12,195612
1957,29.5,741.5,12,195712
1958,72.2,933.9,12,195812
1959,34.8,765.6,12,195912
1960,77.2,956.1,12,196012
1961,59.6,876.9,12,196112
1962,64.8,900.6,12,196212
1963,92.8,1026.4,12,196312
1964,50.2,834.7,12,196412
1965,35,766.3,12,196512
1966,53.7,850.6,12,196612
1967,47.5,822.7,12,196712
1968,67.3,911.8,12,196812
1969,58.6,872.6,12,196912
1970,47.1,820.6,12,197012
1971,32.4,754.8,12,197112
1972,54.9,856,12,197212
1973,45.7,814.7,12,197312
1974,46,815.8,12,197412
1975,47,820.2,12,197512
1976,75.2,947.2,12,197612
1977,53.9,851.5,12,197712
1978,57.7,868.4,12,197812
1979,34.7,765.2,12,197912
1980,50.3,835.3,12,198012
1981,54.3,853,12,198112
1982,23.5,714.7,12,198212
1983,85.3,992.4,12,198312
1984,25.8,725.1,12,198412
1985,76.1,951.4,12,198512
1986,43.6,805.2,12,198612
1987,39,784.5,12,198712
1988,50.1,834.1,12,198812
1989,100,1058.7,12,198912
1990,43.7,805.5,12,199012
1991,33.1,758,12,199112
1992,49.6,832.1,12,199212
1993,48.3,826.4,12,199312
1994,27.8,733.8,12,199412
1995,57.5,867.5,12,199512
1996,34.6,764.6,12,199612
1997,44.1,807.5,12,199712
1998,26.7,729.1,12,199812
1999,33.9,761.5,12,199912
2000,84.5,988.8,12,200012
2001,22.3,709.4,12,200112
2002,46.4,817.8,12,200212
2003,40.7,792.1,12,200312
2004,43.4,804.2,12,200412
2005,57.2,866.2,12,200512
2006,21,703.4,12,200612
2007,44.8,810.4,12,200712
2008,50.3,835.1,12,200812
2009,60.4,880.6,12,200912
2010,66,905.6,12,201012
2011,28.4,736.6,12,201112
2012,22.8,711.7,12,201212
2013,52.9,846.9,12,201312
2014,24.9,721.2,12,201412
2015,0,609,12,201512
2016,44.1,807.2,12,201612
2017,46.6,818.5,12,201712
