AR,AR
-0.163379994,-0.134760022
-0.351626855,-0.32582857
-0.524959081,-0.501176288
-0.845019054,-0.82567034
-0.919592221,-0.901049704
-1.190071114,-1.104614295
-1.103001903,-1.010692414
-0.648307131,-0.521331198
-0.479005886,-0.33913081
-0.288743535,-0.134356924
-0.270604116,-0.11500821
-0.169426468,-0.005768598
-0.191596869,-0.029551392
-0.37742514,-0.229891198
-0.548338777,-0.413703978
-0.864367767,-0.75391886
-0.93773164,-0.832926108
-1.211032221,-1.030444226
-1.125575402,-0.931282069
-0.679748791,-0.411285389
-0.513269234,-0.217798252
-0.327037864,-0.000528321
-0.309301544,0.020029687
-0.209736288,0.136121969
-0.231503591,0.110726783
-0.414107076,-0.102109068
-0.581795928,-0.297208597
-0.891778445,-0.658384586
-0.963529925,-0.742229012
-1.160241847,-1.000211861
-1.070754047,-0.898631114
-0.603966329,-0.366541488
-0.429827906,-0.168217173
-0.234728376,0.053889936
-0.216185859,0.075254141
-0.112186523,0.193765012
-0.134760022,0.167966727
-0.32582857,-0.049706302
-0.501176288,-0.24964301
-0.82567034,-0.619284061
-0.901049704,-0.705143978
-1.104614295,-0.893390838
-1.010692414,-0.783345029
-0.521331198,-0.207720797
-0.33913081,0.006727447
-0.134356924,0.246973975
-0.11500821,0.269950572
-0.005768598,0.398538899
-0.029551392,0.370322025
-0.229891198,0.134912675
-0.413703978,-0.08155106
-0.75391886,-0.481424476
-0.832926108,-0.574137062
-1.030444226,-0.760771529
-0.931282069,-0.640245167
-0.411285389,-0.010605776
-0.217798252,0.223997377
-0.000528321,0.487220503
0.020029687,0.512212592
0.136121969,0.652490766
0.110726783,0.621855302
-0.102109068,0.364275552
-0.297208597,0.127656907
-0.658384586,-0.309704642
-0.742229012,-0.411285389
-1.000211861,-0.585020713
-0.898631114,-0.450789012
-0.366541488,0.250601859
-0.168217173,0.511809493
0.053889936,0.804458788
0.075254141,0.832675662
0.193765012,0.989077764
0.167966727,0.954814417
-0.049706302,0.667808497
-0.24964301,0.404182273
-0.619284061,-0.082760354
-0.705143978,-0.195627851
-0.893390838,-0.31010774
-0.783345029,-0.154511834
-0.207720797,0.658537239
0.006727447,0.961667086
0.246973975,1.301075772
0.269950572,1.333726727
0.398538899,1.515120917
0.370322025,1.475214195
0.134912675,1.142658179
-0.08155106,0.837109742
-0.481424476,0.271966063
-0.574137062,0.141362246
-0.760771529,0.086137792
-0.640245167,0.228834556
-0.010605776,1.173293642
0.223997377,1.500206284
0.487220503,1.912978842
0.512212592,1.970218787
0.652490766,2.169752397
0.621855302,2.150806781
0.364275552,1.825506533
0.127656907,1.543337791
-0.309704642,0.880644348
-0.411285389,0.785513172
-0.585020713,0.288896188
-0.450789012,0.542444957
0.250601859,1.708204956
0.511809493,2.215705592
0.804458788,2.696601747
0.832675662,2.785283351
0.989077764,3.102924734
0.954814417,3.088413199
0.667808497,2.595424098
0.404182273,2.130651871
-0.082760354,1.362749797
-0.195627851,1.079371761
-0.31010774,0.932644016
-0.154511834,1.531244845
0.658537239,2.829624153
0.961667086,3.499573364
1.301075772,4.130825148
1.333726727,4.349707472
1.515120917,4.623008052
1.475214195,4.419846559
1.142658179,3.684998537
0.837109742,3.050925066
0.271966063,2.067365454
0.141362246,1.675554002
0.086137792,1.585260004
0.228834556,2.050032231
1.173293642,4.036097071
1.500206284,4.931477516
1.912978842,5.675513164
1.970218787,5.854505775
2.169752397,6.050279168
2.150806781,5.783258739
1.825506533,4.849464476
1.543337791,4.21476772
0.880644348,3.067250411
0.785513172,2.356242538
0.288896188,2.356464788
0.542444957,3.304432299
1.708204956,5.210101608
2.215705592,
2.696601747,
2.785283351,
3.102924734,
3.088413199,
2.595424098,
2.130651871,
1.362749797,
1.079371761,
0.932644016,
1.531244845,
2.829624153,
3.499573364,
4.130825148,
4.349707472,
4.623008052,
4.419846559,
3.684998537,
3.050925066,
2.067365454,
1.675554002,
1.585260004,
2.050032231,
4.036097071,
4.931477516,
5.675513164,
5.854505775,
6.050279168,
5.783258739,
4.849464476,
4.21476772,
3.067250411,
2.356242538,
2.356464788,
3.304432299,
5.210101608,
