Solar,AR,LR,MLP
-0.165280579,-0.168217173,-0.168217173,-0.168217173
0.112967056,0.053889936,0.053889936,0.053889936
0.139294754,0.075254141,0.075254141,0.075254141
0.287968816,0.193765012,0.193765012,0.193765012
0.255446365,0.167966727,0.167966727,0.167966727
-0.017122747,-0.049706302,-0.049706302,-0.049706302
-0.266977767,-0.24964301,-0.24964301,-0.24964301
-0.72951929,-0.619284061,-0.619284061,-0.619284061
-0.836895001,-0.705143978,-0.705143978,-0.705143978
-1.167281803,-0.893390838,-0.893390838,-0.893390838
-1.037192,-0.783345029,-0.783345029,-0.783345029
-0.35576922,-0.207720797,-0.207720797,-0.207720797
-0.101784365,0.006727447,0.006727447,0.006727447
0.182658022,0.246973975,0.246973975,0.246973975
0.210018179,0.269950572,0.269950572,0.269950572
0.361789617,0.398538899,0.398538899,0.398538899
0.328750937,0.370322025,0.370322025,0.370322025
0.049987072,0.134912675,0.134912675,0.134912675
-0.2060627,-0.08155106,-0.08155106,-0.08155106
-0.67944504,-0.481424476,-0.481424476,-0.481424476
-0.789401898,-0.574137062,-0.574137062,-0.574137062
-1.030481018,-0.760771529,-0.760771529,-0.760771529
-0.889550398,-0.640245167,-0.640245167,-0.640245167
-0.152374845,-0.010605776,-0.010605776,-0.010605776
0.122259185,0.223997377,0.223997377,0.223997377
0.429931895,0.487220503,0.487220503,0.487220503
0.459356969,0.512212592,0.512212592,0.512212592
0.624034141,0.652490766,0.652490766,0.652490766
0.587898085,0.621855302,0.621855302,0.621855302
0.286420127,0.364275552,0.364275552,0.364275552
0.009204951,0.127656907,0.127656907,0.127656907
-0.502894593,-0.309704642,-0.309704642,-0.309704642
-0.62162735,-0.411285389,-0.411285389,-0.411285389
-0.860641552,-0.585020713,-0.585020713,-0.585020713
-0.706288968,-0.450789012,-0.450789012,-0.450789012
0.100061322,0.250601859,0.250601859,0.250601859
0.40050682,0.511809493,0.511809493,0.511809493
0.737604605,0.804458788,0.804458788,0.804458788
0.769610826,0.832675662,0.832675662,0.832675662
0.94925865,0.989077764,0.989077764,0.989077764
0.910025217,0.954814417,0.954814417,0.954814417
0.580154644,0.667808497,0.667808497,0.667808497
0.277127999,0.404182273,0.404182273,0.404182273
-0.282980877,-0.082760354,-0.082760354,-0.082760354
-0.413070681,-0.195627851,-0.195627851,-0.195627851
-0.635565543,-0.31010774,-0.31010774,-0.31010774
-0.46366116,-0.154511834,-0.154511834,-0.154511834
0.434577959,0.658537239,0.658537239,0.658537239
0.769094597,0.961667086,0.961667086,0.961667086
1.143877126,1.301075772,1.301075772,1.301075772
1.180013182,1.333726727,1.333726727,1.333726727
1.380310181,1.515120917,1.515120917,1.515120917
1.336430684,1.475214195,1.475214195,1.475214195
0.968875366,1.142658179,1.142658179,1.142658179
0.631261353,0.837109742,0.837109742,0.837109742
0.007656263,0.271966063,0.271966063,0.271966063
-0.136887963,0.141362246,0.141362246,0.141362246
-0.283497107,0.086137792,0.086137792,0.086137792
-0.084232567,0.228834556,0.228834556,0.228834556
0.957002091,1.173293642,1.173293642,1.173293642
1.345206584,1.500206284,1.500206284,1.500206284
1.779871721,1.912978842,1.912978842,1.912978842
1.8216863,1.970218787,1.970218787,1.970218787
2.053989521,2.169752397,2.169752397,2.169752397
2.002882812,2.150806781,2.150806781,2.150806781
1.576993575,1.825506533,1.825506533,1.825506533
1.185691706,1.543337791,1.543337791,1.543337791
0.461938116,0.880644348,0.880644348,0.880644348
0.294679798,0.785513172,0.785513172,0.785513172
0.223956373,0.288896188,0.288896188,0.288896188
0.406701573,0.542444957,0.542444957,0.542444957
1.616227007,1.708204956,1.708204956,1.708204956
2.034889034,2.215705592,2.215705592,2.215705592
2.563507918,2.696601747,2.696601747,2.696601747
2.63681249,2.785283351,2.785283351,2.785283351
2.892346032,3.102924734,3.102924734,3.102924734
2.868083251,3.088413199,3.088413199,3.088413199
2.451486143,2.595424098,2.595424098,2.595424098
2.090125577,2.130651871,2.130651871,2.130651871
1.241444478,1.362749797,1.362749797,1.362749797
1.119614345,1.079371761,1.079371761,1.079371761
0.48361975,0.932644016,0.932644016,0.932644016
0.80832803,1.531244845,1.531244845,1.531244845
2.301263393,2.829624153,2.829624153,2.829624153
2.951196181,3.499573364,3.499573364,3.499573364
3.56705783,4.130825148,4.130825148,4.130825148
3.680628294,4.349707472,4.349707472,4.349707472
4.087417044,4.623008052,4.623008052,4.623008052
4.068832787,4.419846559,4.419846559,4.419846559
3.437484256,3.684998537,3.684998537,3.684998537
2.842271782,3.050925066,3.050925066,3.050925066
1.858854816,2.067365454,2.067365454,2.067365454
1.495945562,1.675554002,1.675554002,1.675554002
1.308038068,1.585260004,1.585260004,1.585260004
2.074638696,2.050032231,2.050032231,2.050032231
3.737413525,4.036097071,4.036097071,4.036097071
4.595386753,4.931477516,4.749506047,4.99810274
5.40380196,5.675513164,5.194100682,5.662353552
5.684114513,5.854505775,5.930128461,6.20590868
6.034118032,6.050279168,5.687670463,6.510016761
5.773938425,5.783258739,6.036922882,6.557232085
4.832852267,4.849464476,4.535330338,5.685866992
4.020823454,4.21476772,4.192623617,4.315406892
2.76122377,3.067250411,2.590345903,3.492485905
2.259448814,2.356242538,2.415661602,2.718280431
2.143813433,2.356464788,1.893967313,2.997740009
2.739025907,3.304432299,3.292849281,4.082729155
5.282488056,5.210101608,4.693660576,5.015638208
